dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1111010100,청운동,2,4,5,63,0,1,-13,-49,-49,-2182,-11,-7,NULL
1111010200,신교동,0,5,2,27,0,0,-15,-48,-52,-2218,-11,-8,NULL
1111010300,궁정동,0,0,2,5,0,0,-15,-53,-52,-2240,-11,-8,NULL
1111010400,효자동,0,0,4,32,0,0,-15,-53,-50,-2213,-11,-8,NULL
1111010500,창성동,0,1,6,40,0,0,-15,-52,-48,-2205,-11,-8,NULL
1111010600,통의동,1,1,11,88,2,0,-14,-52,-43,-2157,-9,-8,NULL
1111010700,적선동,0,0,15,83,2,0,-15,-53,-39,-2162,-9,-8,NULL
1111010800,통인동,0,4,10,155,0,1,-15,-49,-44,-2090,-11,-7,NULL
1111010900,누상동,1,1,2,43,0,2,-14,-52,-52,-2202,-11,-6,NULL
1111011000,누하동,1,1,15,83,0,0,-14,-52,-39,-2162,-11,-8,NULL
1111011100,옥인동,1,3,9,61,0,0,-14,-50,-45,-2184,-11,-8,NULL
1111011200,체부동,1,2,13,109,1,1,-14,-51,-41,-2136,-10,-7,NULL
1111011300,필운동,2,11,11,109,1,0,-13,-42,-43,-2136,-10,-8,NULL
1111011400,내자동,2,3,5,85,1,1,-13,-50,-49,-2160,-10,-7,NULL
1111011500,사직동,0,5,13,90,2,1,-15,-48,-41,-2155,-9,-7,NULL
1111011600,도렴동,0,0,4,29,0,0,-15,-53,-50,-2216,-11,-8,NULL
1111011700,당주동,2,3,14,150,1,1,-13,-50,-40,-2095,-10,-7,NULL
1111011800,내수동,2,11,14,164,5,0,-13,-42,-40,-2081,-6,-8,NULL
1111011900,세종로,2,2,19,62,1,0,-13,-51,-35,-2183,-10,-8,NULL
1111012000,신문로1가,3,3,22,145,2,0,-12,-50,-32,-2100,-9,-8,NULL
1111012100,신문로2가,1,6,12,92,6,0,-14,-47,-42,-2153,-5,-8,NULL
1111012200,청진동,6,3,28,249,1,0,-9,-50,-26,-1996,-10,-8,NULL
1111012300,서린동,3,3,13,93,1,0,-12,-50,-41,-2152,-10,-8,NULL
1111012400,수송동,3,5,26,143,2,1,-12,-48,-28,-2102,-9,-7,NULL
1111012500,중학동,2,0,6,48,1,0,-13,-53,-48,-2197,-10,-8,NULL
1111012600,종로1가,0,1,21,187,7,0,-15,-52,-33,-2058,-4,-8,NULL
1111012700,공평동,1,0,12,54,1,0,-14,-53,-42,-2191,-10,-8,NULL
1111012800,관훈동,3,5,32,254,0,1,-12,-48,-22,-1991,-11,-7,NULL
1111012900,견지동,0,0,7,47,1,0,-15,-53,-47,-2198,-10,-8,NULL
1111013000,와룡동,3,2,10,81,0,1,-12,-51,-44,-2164,-11,-7,NULL
1111013100,권농동,1,1,3,38,0,0,-14,-52,-51,-2207,-11,-8,NULL
1111013200,운니동,1,5,6,66,0,0,-14,-48,-48,-2179,-11,-8,NULL
1111013300,익선동,2,5,27,195,0,0,-13,-48,-27,-2050,-11,-8,NULL
1111013400,경운동,2,5,5,56,2,0,-13,-48,-49,-2189,-9,-8,NULL
1111013500,관철동,7,18,20,251,1,0,-8,-35,-34,-1994,-10,-8,NULL
1111013600,인사동,0,8,9,128,0,0,-15,-45,-45,-2117,-11,-8,NULL
1111013700,낙원동,2,16,12,637,1,1,-13,-37,-42,-1608,-10,-7,NULL
1111013800,종로2가,1,13,24,139,1,0,-14,-40,-30,-2106,-10,-8,NULL
1111013900,팔판동,0,4,12,61,0,2,-15,-49,-42,-2184,-11,-6,NULL
1111014000,삼청동,2,3,27,123,2,3,-13,-50,-27,-2122,-9,-5,NULL
1111014100,안국동,3,5,17,113,0,0,-12,-48,-37,-2132,-11,-8,NULL
1111014200,소격동,2,1,22,77,0,0,-13,-52,-32,-2168,-11,-8,NULL
1111014300,화동,0,0,17,52,0,0,-15,-53,-37,-2193,-11,-8,NULL
1111014400,사간동,1,0,7,41,0,0,-14,-53,-47,-2204,-11,-8,NULL
1111014500,송현동,0,0,0,1,0,0,-15,-53,-54,-2244,-11,-8,NULL
1111014600,가회동,0,5,16,96,1,0,-15,-48,-38,-2149,-10,-8,NULL
1111014700,재동,1,0,14,100,0,0,-14,-53,-40,-2145,-11,-8,NULL
1111014800,계동,2,4,33,180,1,2,-13,-49,-21,-2065,-10,-6,NULL
1111014900,원서동,3,8,11,81,1,0,-12,-45,-43,-2164,-10,-8,NULL
1111015000,훈정동,0,0,0,3,0,0,-15,-53,-54,-2242,-11,-8,NULL
1111015100,묘동,0,3,10,160,0,0,-15,-50,-44,-2085,-11,-8,NULL
1111015200,봉익동,0,3,5,183,0,1,-15,-50,-49,-2062,-11,-7,NULL
1111015300,돈의동,1,3,8,156,1,0,-14,-50,-46,-2089,-10,-8,NULL
1111015400,장사동,0,0,3,231,1,2,-15,-53,-51,-2014,-10,-6,NULL
1111015500,관수동,2,10,8,158,0,1,-13,-43,-46,-2087,-11,-7,NULL
1111015600,종로3가,2,6,14,194,1,0,-13,-47,-40,-2051,-10,-8,NULL
1111015700,인의동,3,7,4,205,0,3,-12,-46,-50,-2040,-11,-5,NULL
1111015800,예지동,0,1,5,848,0,3,-15,-52,-49,-1397,-11,-5,NULL
1111015900,원남동,1,1,9,74,2,1,-14,-52,-45,-2171,-9,-7,NULL
1111016000,연지동,0,7,13,137,1,0,-15,-46,-41,-2108,-10,-8,NULL
1111016100,종로4가,0,1,5,269,1,0,-15,-52,-49,-1976,-10,-8,NULL
1111016200,효제동,5,2,6,140,1,3,-10,-51,-48,-2105,-10,-5,NULL
1111016300,종로5가,1,6,16,415,1,4,-14,-47,-38,-1830,-10,-4,NULL
1111016400,종로6가,4,6,20,1285,0,4,-11,-47,-34,-960,-11,-4,NULL
1111016500,이화동,3,7,9,87,3,0,-12,-46,-45,-2158,-8,-8,NULL
1111016600,연건동,6,3,23,132,1,0,-9,-50,-31,-2113,-10,-8,NULL
1111016700,충신동,0,3,2,120,1,0,-15,-50,-52,-2125,-10,-8,NULL
1111016800,동숭동,8,21,50,321,0,2,-7,-32,-4,-1924,-11,-6,NULL
1111016900,혜화동,3,12,23,159,1,2,-12,-41,-31,-2086,-10,-6,NULL
1111017000,명륜1가,5,15,15,106,2,3,-10,-38,-39,-2139,-9,-5,NULL
1111017100,명륜2가,1,8,25,211,1,2,-14,-45,-29,-2034,-10,-6,NULL
1111017200,명륜4가,3,1,28,209,0,1,-12,-52,-26,-2036,-11,-7,006
1111017300,명륜3가,7,9,9,141,0,0,-8,-44,-45,-2104,-11,-8,NULL
1111017400,창신동,13,30,39,914,9,10,-2,-23,-15,-1331,-2,2,006
1111017500,숭인동,25,29,30,790,3,9,10,-24,-24,-1455,-8,1,001
1111017600,교남동,0,0,1,21,1,1,-15,-53,-53,-2224,-10,-7,NULL
1111017700,평동,2,4,10,54,1,2,-13,-49,-44,-2191,-10,-6,NULL
1111017800,송월동,0,0,0,0,0,0,-15,-53,-54,-2245,-11,-8,NULL
1111017900,홍파동,0,7,1,33,1,1,-15,-46,-53,-2212,-10,-7,NULL
1111018000,교북동,1,6,3,30,0,0,-14,-47,-51,-2215,-11,-8,NULL
1111018100,행촌동,3,4,2,51,0,1,-12,-49,-52,-2194,-11,-7,NULL
1111018200,구기동,4,8,14,170,4,3,-11,-45,-40,-2075,-7,-5,NULL
1111018300,평창동,11,47,44,408,8,8,-4,-6,-10,-1837,-3,0,NULL
1111018400,부암동,4,10,50,197,1,0,-11,-43,-4,-2048,-10,-8,NULL
